[32] pry(main)> clean_data_dir
DELETE scraped-data/2024-02-26: 122574988
DELETE scraped-data/2024-02-27: 122574988
  KEEP scraped-data/2024-02-28: 122575460
  KEEP scraped-data/2024-02-29: 122581548
  KEEP scraped-data/2024-03-01: 122600705
  KEEP scraped-data/2024-03-02: 122606215
DELETE scraped-data/2024-03-03: 122606215
  KEEP scraped-data/2024-03-04: 122614069
DELETE scraped-data/2024-03-05: 122614069
DELETE scraped-data/2024-03-06: 122614069
  KEEP scraped-data/2024-03-07: 122620394
  KEEP scraped-data/2024-03-08: 122623382
DELETE scraped-data/2024-03-09: 122623382
  KEEP scraped-data/2024-03-10: 122633005
DELETE scraped-data/2024-03-11: 122633005
DELETE scraped-data/2024-03-12: 122633005
  KEEP scraped-data/2024-03-13: 122642512
  KEEP scraped-data/2024-03-14: 122688753
DELETE scraped-data/2024-03-15: 122688753
  KEEP scraped-data/2024-03-16: 122723612
  KEEP scraped-data/2024-03-17: 122724411
DELETE scraped-data/2024-03-18: 122724411
DELETE scraped-data/2024-03-19: 122724411
  KEEP scraped-data/2024-03-20: 122734022
DELETE scraped-data/2024-03-21: 122734022
  KEEP scraped-data/2024-03-22: 122745438
  KEEP scraped-data/2024-03-23: 122761192
  KEEP scraped-data/2024-03-25: 122763633
DELETE scraped-data/2024-03-26: 122763633
  KEEP scraped-data/2024-03-27: 122765432
  KEEP scraped-data/2024-03-28: 122771597
  KEEP scraped-data/2024-03-29: 122783673
  KEEP scraped-data/2024-03-30: 122791105
  KEEP scraped-data/2024-03-31: 122791585
  KEEP scraped-data/2024-04-01: 122857377
DELETE scraped-data/2024-04-02: 122857377
  KEEP scraped-data/2024-04-03: 122865666
  KEEP scraped-data/2024-04-04: 122884252
  KEEP scraped-data/2024-04-05: 122888668
  KEEP scraped-data/2024-04-06: 122891318
  KEEP scraped-data/2024-04-07: 122897464
DELETE scraped-data/2024-04-08: 122897464
DELETE scraped-data/2024-04-09: 122897464
  KEEP scraped-data/2024-04-10: 122904236
  KEEP scraped-data/2024-04-11: 122914091
  KEEP scraped-data/2024-04-12: 122917855
  KEEP scraped-data/2024-04-13: 122917862
  KEEP scraped-data/2024-04-14: 123233107
DELETE scraped-data/2024-04-15: 123233107
DELETE scraped-data/2024-04-16: 123233107
  KEEP scraped-data/2024-04-17: 123163568
  KEEP scraped-data/2024-04-18: 123241494
  KEEP scraped-data/2024-04-19: 123392606
  KEEP scraped-data/2024-04-20: 123396075
  KEEP scraped-data/2024-04-21: 123409429
DELETE scraped-data/2024-04-22: 123409429
DELETE scraped-data/2024-04-23: 123409429
  KEEP scraped-data/2024-04-24: 123431842
  KEEP scraped-data/2024-04-25: 123462465
  KEEP scraped-data/2024-04-26: 123472684
  KEEP scraped-data/2024-04-27: 123473500
  KEEP scraped-data/2024-04-28: 123492002
DELETE scraped-data/2024-04-29: 123492002
DELETE scraped-data/2024-04-30: 123492002
  KEEP scraped-data/2024-05-01: 123492792
  KEEP scraped-data/2024-05-02: 123501074
  KEEP scraped-data/2024-05-03: 123494379
  KEEP scraped-data/2024-05-04: 123493519
  KEEP scraped-data/2024-05-05: 123502586
DELETE scraped-data/2024-05-06: 123502586
=> nil
